code,name,area,pop1995,pop1996,pop1997,pop1998,pop1999,pop2000,pop2001,pop2002,pop2003,pop2004,pop2005,pop2006,pop2007,pop2008,pop2009,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015,pop2016,den1995,den1996,den1997,den1998,den1999,den2000,den2001,den2002,den2003,den2004,den2005,den2006,den2007,den2008,den2009,den2010,den2011,den2012,den2013,den2014,den2015,den2016
14,Sơn La,14123.5,811.7,833.4,855,877,886.5,909.9,931.4,953,974.5,994.6,1014.5,1033.5,1050.8,1067.2,1079.2,1098.9,1118.6,1134.4,1150.5,1166.4,1187.4,1208,57.5,59.0,60.5,62.1,62.8,64.4,65.9,67.5,69.0,70.4,71.8,73.2,74.4,75.6,76.4,77.8,79.2,80.3,81.5,82.6,84.1,85.5
17,Hòa Bình,4590.7,718.5,730,741.6,751.8,759.7,770.5,783.3,796.8,810.9,827.1,843.8,858.6,872.8,778,786.4,791.6,799,805.2,810.3,817.4,824.3,831.3,156.5,159.0,161.5,163.8,165.5,167.8,170.6,173.6,176.6,180.2,183.8,187.0,190.1,169.5,171.3,172.4,174.0,175.4,176.5,178.1,179.6,181.1
38,Thanh Hóa,11114.5,3337.7,3375.9,3414.1,3448.5,3474.5,3468.2,3464,3457.8,3449.8,3442.6,3436.4,3428,3417.3,3408.8,3404.3,3421.8,3437.7,3457.9,3477.7,3496.1,3512.1,3528.3,300.3,303.7,307.2,310.3,312.6,312.0,311.7,311.1,310.4,309.7,309.2,308.4,307.5,306.7,306.3,307.9,309.3,311.1,312.9,314.6,316.0,317.5
40,Nghệ An,16481.7,2714.9,2752.8,2791.3,2829.4,2865.2,2871.1,2877,2881.6,2884.9,2890,2895.6,2900.1,2905.2,2912.1,2914.5,2934.1,2955.9,2983.3,3011.3,3037.4,3080,3105.5,164.7,167.0,169.4,171.7,173.8,174.2,174.6,174.8,175.0,175.3,175.7,176.0,176.3,176.7,176.8,178.0,179.3,181.0,182.7,184.3,186.9,188.4
42,Hà Tĩnh,5990.6,1247.7,1253.2,1258.6,1264.4,1271.1,1268.4,1265.1,1260.8,1256.3,1252.2,1247.8,1243.6,1239,1234,1227.8,1232.7,1237.8,1243.2,1249.1,1255.3,1261.3,1266.7,208.3,209.2,210.1,211.1,212.2,211.7,211.2,210.5,209.7,209.0,208.3,207.6,206.8,206.0,205.0,205.8,206.6,207.5,208.5,209.5,210.5,211.4
44,Quảng Bình,8000.1,746.1,758.2,771,783.9,795.8,802.1,808.1,814.8,819.8,825,830.3,834.5,838.5,843.5,845,848.6,853.4,858.3,863.4,868.2,872.9,877.7,93.3,94.8,96.4,98.0,99.5,100.3,101.0,101.8,102.5,103.1,103.8,104.3,104.8,105.4,105.6,106.1,106.7,107.3,107.9,108.5,109.1,109.7
45,Quảng Trị,4621.8,534.9,544.8,555,565.4,574.9,577.6,580.8,583.9,586.3,588.6,590.3,591.9,594.1,596.7,598.6,601.7,604.7,608.2,613,616.4,619.9,623.5,115.7,117.9,120.1,122.3,124.4,125.0,125.7,126.3,126.9,127.4,127.7,128.1,128.5,129.1,129.5,130.2,130.8,131.6,132.6,133.4,134.1,134.9
46,Thừa Thiên Huế,4902.4,999.3,1011.2,1023.1,1035.6,1049.1,1052.1,1056.3,1060.1,1064.2,1068.6,1072.9,1076.9,1081,1084.9,1087.6,1090.9,1103.1,1113.9,1122.7,1131.8,1141.7,1149.8,203.8,206.3,208.7,211.2,214.0,214.6,215.5,216.2,217.1,218.0,218.9,219.7,220.5,221.3,221.9,222.5,225.0,227.2,229.0,230.9,232.9,234.5
48,Đà Nẵng,1284.7,637.3,649.3,661.8,674.4,687.3,706.1,723.1,739.7,760.7,784.8,805.7,825.9,847.5,868.8,894.5,922.7,946,966.3,986.8,1007.7,1026.8,1046.2,496.1,505.4,515.1,524.9,535.0,549.6,562.9,575.8,592.1,610.9,627.2,642.9,659.7,676.3,696.3,718.2,736.4,752.2,768.1,784.4,799.3,814.4
49,Quảng Nam,10575,1322,1335.3,1348.1,1361.8,1375.8,1382.5,1388.8,1394.3,1398.6,1403,1407.4,1410.8,1413.9,1417.8,1423,1433.2,1442.7,1452.9,1463.2,1471.8,1479.8,1487.7,125.0,126.3,127.5,128.8,130.1,130.7,131.3,131.8,132.3,132.7,133.1,133.4,133.7,134.1,134.6,135.5,136.4,137.4,138.4,139.2,139.9,140.7
51,Quảng Ngãi,5152.3,1149,1159.7,1170.4,1181.4,1191.9,1194.3,1197.8,1200.6,1203.2,1206.5,1210,1212.6,1214.8,1217,1217.2,1221,1225.2,1229.8,1236.3,1241.4,1246.4,1251.5,223.0,225.1,227.2,229.3,231.3,231.8,232.5,233.0,233.5,234.2,234.8,235.4,235.8,236.2,236.2,237.0,237.8,238.7,240.0,240.9,241.9,242.9
